cuda_device : 0
eos_c_token : EOS_U
beam_len_bonus : 0.5
mode : test
m : TSD
prev_z_method : separate
seed : 0
vocab_size : 800
embedding_size : 50
hidden_size : 50
split : (4, 0, 1)
lr : 0.003
lr_decay : 0.5
entity : ./data/CamRest676/CamRestOTGY.json
db : ./data/CamRest676/CamRestDB.json
glove_path : ./data/glove/glove.6B.50d.txt
batch_size : 1
z_length : 8
degree_size : 5
layer_num : 1
dropout_rate : 0.5
epoch_num : 100
rl_epoch_num : 20
cuda : True
spv_proportion : 100
max_ts : 40
early_stop_count : 5
new_vocab : True
data : ./data/CamRest676/CamRest676_annotated.json
vocab_path : ./vocab/CamRest676_annotated_complete.pkl
model_path : ./models/camrest_annotated_coreference_resolution+greedy+copy_history+modifiedloss.pkl
result_path : ./results/camrest_annotated_coreference_resolution+greedy+copy_history+modifiedloss.csv
teacher_force : 100
beam_search : False
beam_size : 10
sampling : False
unfrz_attn_epoch : 0
skip_unsup : False
truncated : False
pretrain : False
START_CSV_SECTION
dial_id,turn_num,generated_user,user_complete,user,bspan,response,u_len,m_len,supervised
613,0,i am looking for a restaurant in the moderate price range and in the north part of town .,i am looking for a restaurant in the moderate price range and in the north part of town .,i am looking for a restaurant in the moderate price range and in the north part of town .,moderate north EOS_Z1,there are two moderately priced restaurants in the north part of town . one specializes in food_SLOT cuisine and the other is a food_SLOT restaurant .,20,27,True
613,1,i want the indian indian restaurant in the north part of town . what 's the address and phone number ?,i want the indian moderately priced restaurant in the north part of town . what 's the address and phone number ?,i want the indian that priced one in that part of town . what 's the address and phone number ?,moderate indian north EOS_Z1 address phone,the indian restaurant is located at address_SLOT and the phone number is phone_SLOT,22,14,True
613,2,thank you very much,thank you very much,thank you very much,moderate north indian EOS_Z1,thank you for using the cambridge restaurant phone system . enjoy your meal !,5,15,True
672,0,i want to find a restaurant in the south part of town and serves scandinavian food .,i want to find a restaurant in the south part of town and serves scandinavian food .,i want to find a restaurant in the south part of town and serves scandinavian food .,scandinavian south EOS_Z1,there are no scandinavian restaurants in the south part of town .,18,13,True
672,1,how about italian food in the south part of town ?,how about italian food in the south part of town ?,how about italian food in that part of town ?,italian south EOS_Z1,"yes , we have two italian restaurants in the south area . would you prefer the pricerange_SLOT priced or the pricerange_SLOT one ?",11,24,True
672,2,i do not have a preference on food type . please make a suggestion .,i do not have a preference on price range . please make a suggestion .,i do not have a preference on it . please make a suggestion .,italian south EOS_Z1,"name_SLOT is an italian restaurant , it is on the south part of town , and it is in the pricerange_SLOT price range . would you like the address and phone number ?",15,34,True
672,3,i would like the postcode of name_SLOT ?,i would like the address and phone number and postcode ?,i would like them and postcode ?,italian south EOS_Z1 address phone postcode,"post code is postcode_SLOT , phone number is phone_SLOT , and address is address_SLOT .",8,16,True
672,4,"great , thank you","great , thank you","great , thank you",italian south EOS_Z1,"thank you , have a nice day !",5,9,True
585,0,i am looking for a restaurant that is in the moderate price range and in the west part of town .,i am looking for a restaurant that is in the moderate price range and in the west part of town .,i am looking for a restaurant that is in the moderate price range and in the west part of town .,moderate west EOS_Z1,do you have a particular food type in mind today ?,22,12,True
585,1,any any area type food will be fine as long as it is that priced and in the that part of town .,any type of food will be fine as long as it is moderately priced and in the west part of town .,any one will be fine as long as it is that priced and in that part of town .,moderate west EOS_Z1,name_SLOT is an food_SLOT restaurant in the west part of town and is in the moderate price range .,20,20,True
585,2,"great , can i please have address and postcode of name_SLOT ?","great , can i please have the address and postcode of name_SLOT ?","great , can i please have their address and postcode ?",moderate west EOS_Z1 address postcode,"name_SLOT is at address_SLOT , and the postal code is postcode_SLOT . can i help you with anything else ?",12,21,True
585,3,thank you goodbye .,thank you goodbye .,thank you goodbye .,moderate west EOS_Z1,thank you goodbye .,5,5,True
547,0,i want to find a cheap restaurant and serves australasian food .,i want to find a cheap restaurant and serves australasian food .,i want to find a cheap restaurant and serves australasian food .,australasian cheap EOS_Z1,there are no restaurants serving australasian food . would you like something else ?,13,15,True
547,1,i would like cheap portuguese food,i would like cheap portuguese food,i would like cheap portuguese one,portuguese cheap EOS_Z1,"there are two restaurants available , name_SLOT and name_SLOT . one is in the area_SLOT and one is in the area_SLOT .",7,23,True
547,2,i do n't care about,i do n't care about area,i do n't care about it,portuguese cheap EOS_Z1,how about name_SLOT ? it is a cheap restaurant on address_SLOT,7,12,True
547,3,"sounds great , what is name_SLOT 's address ?","sounds great , what is name_SLOT 's address ?","sounds great , what is their address ?",portuguese cheap EOS_Z1 address,"the address is address_SLOT , postcode_SLOT .",9,8,True
547,4,thank you and goodbye !,thank you and goodbye !,thank you and goodbye !,portuguese cheap EOS_Z1,goodbye .,6,3,True
662,0,i would like a cheap restaurant that serves malaysian food,i would like a cheap restaurant that serves malaysian food,i would like a cheap restaurant that serves malaysian food,malaysian cheap EOS_Z1,"i 'm sorry , there are no restaurants in the city that serve malaysian food . can i help you find another restaurant ?",11,25,True
662,1,is there a cheap european restaurant ?,is there a cheap european restaurant ?,is there a cheap european one ?,european cheap EOS_Z1,yes . i found name_SLOT . it is a cheap restaurant serving food_SLOT food and in the area_SLOT of town . would you like the address and phone number ?,8,31,True
662,2,of course i would like the area of name_SLOT,of course i would like the address and phone number,of course i would like them,european cheap EOS_Z1 address phone,name_SLOT is located at address_SLOT and its phone number is phone_SLOT . is there anything else i can help you with ?,7,23,True
662,3,"no , thank you for your help . goodbye .","no , and thank you for your help . goodbye .","no , and thank you for your help . goodbye .",european cheap EOS_Z1,our pleasure . please call again . goodbye .,12,10,True
550,0,find me expensive restaurant that serves international food .,find me expensive restaurant that serves international food .,find me expensive restaurant that serves international food .,international expensive EOS_Z1,my apologies . i could not find any restaurants that serve international food in the expensive price range .,10,20,True
550,1,british food in the expensive price range .,british food in the expensive price range .,british one in that price range .,british expensive EOS_Z1,"name_SLOT serves british food , is located in the area_SLOT of town and is in the expensive price range .",8,21,True
550,2,what is the phone number of name_SLOT ?,what is the phone number of name_SLOT ?,what is the phone number of it ?,british expensive EOS_Z1 phone,it 's phone_SLOT . would you like the address ?,9,11,True
